subject,session,task,n_trials,n_sm_channels,n_channels,erd_sm,erd_wholehead,sfreq
sub-016,ses-03,activemotor,19,9,33,-0.07282405464507946,-0.12123412898303254,250.00050000099998
sub-016,ses-03,motorimagery,19,9,33,0.1955754820870041,0.1734857742388112,250.00050000099998
sub-017,ses-01,activemotor,19,9,33,0.09168980593743087,0.4293819636931328,250.00025000025002
sub-017,ses-01,motorimagery,19,9,33,0.035412920516269396,0.052860475749396174,250.00025000025002
sub-017,ses-01,passivemotor,19,9,33,0.2231653336254206,0.2847653100027814,250.00025000025002
sub-017,ses-02,activemotor,19,9,33,0.09684240980017415,0.14524753863955653,250.00025000025002
sub-017,ses-02,motorimagery,19,9,33,-0.011249471797751539,0.022274041282337013,250.00025000025002
sub-017,ses-03,activemotor,19,9,33,0.20387358565971425,0.20053915903442965,250.00050000099998
sub-018,ses-01,activemotor,19,9,33,0.17966197445463758,0.45619841440208214,250.0
sub-018,ses-01,motorimagery,19,9,33,0.17605213507243206,0.17716783015537915,250.0
sub-018,ses-01,passivemotor,19,9,33,0.11993276112338476,0.10564020622645923,250.0
sub-018,ses-02,activemotor,19,9,33,-0.09144373574816256,-0.07577593066688122,249.99975000025003
sub-018,ses-02,motorimagery,19,9,33,0.2130744913781515,0.18782663102601468,249.99975000025003
sub-018,ses-02,passivemotor,19,9,33,-0.06620186506187602,-0.06131782185176347,249.99975000025003
sub-019,ses-01,activemotor,19,9,33,0.05782456443236732,0.2760924299281488,250.0
sub-019,ses-01,motorimagery,19,9,33,0.07114213443456134,0.09302314507212654,250.0
sub-019,ses-01,passivemotor,19,9,33,0.04973836033201604,0.38031790776939683,250.0
sub-019,ses-02,activemotor,19,9,33,0.04837368766837866,0.02599675814505108,249.99975000025003
sub-019,ses-02,motorimagery,19,9,33,0.08206252924008127,0.0005173068253873482,249.99975000025003
sub-019,ses-02,passivemotor,19,9,33,0.11027215040636129,0.0941070112766376,249.99975000025003
sub-019,ses-03,activemotor,19,9,33,0.20847842420849774,0.22566749257155047,250.0
sub-019,ses-03,motorimagery,19,9,33,0.0966361820885185,0.38602607652174925,250.0
sub-019,ses-03,passivemotor,19,9,33,0.1718838374683541,0.14042216351936737,250.0
sub-020,ses-01,activemotor,19,9,33,0.07017722494352377,0.3584153535755278,250.0
